127,127,127,127,127,127,127,127,127
127,127,127,127,127,127,110,127,127
63,62,61,64,56,62,64,61,67
107,127,127,127,127,127,127,127,84
50,57,118,127,123,127,127,127,61
127,109,45,45,56,34,40,86,127
82,82,83,82,81,82,82,82,83
34,45,94,127,58,127,102,40,47
127,127,127,127,127,127,127,127,127
36,53,36,78,48,111,127,87,44
127,127,127,97,127,116,127,127,127
127,127,127,127,127,127,127,127,127
111,127,101,57,54,39,52,36,67
127,127,127,127,127,127,127,127,127
127,127,127,127,127,127,127,127,127
127,127,126,61,126,52,59,125,127
36,42,32,39,25,34,42,30,39
127,127,127,127,127,127,127,127,127
117,93,103,127,127,127,127,127,127
100,99,98,99,97,99,102,99,100
82,57,54,72,94,105,127,127,127
127,111,127,127,127,127,127,127,127
116,116,116,115,115,116,116,116,116
127,127,127,127,120,107,71,70,90
