83,89,103,90,102,120,105,120,127
81,80,80,80,80,80,81,81,81
127,127,127,127,127,127,127,127,127
127,127,127,127,127,127,127,127,127
53,52,59,55,56,63,65,68,74
42,39,42,39,36,38,41,37,39
127,127,127,127,127,127,127,127,127
127,127,122,127,127,126,127,127,127
127,127,121,127,127,115,127,126,111
65,106,127,57,98,127,59,93,127
127,127,127,127,127,127,127,127,127
127,127,127,127,127,127,127,127,127
127,127,127,127,127,127,127,127,127
127,127,127,127,127,127,127,127,127
106,104,104,127,127,127,127,127,127
127,127,127,127,127,127,127,127,127
88,64,56,98,65,53,103,75,60
127,127,127,127,127,127,127,127,127
121,104,85,115,92,75,101,80,72
123,115,89,104,119,103,79,113,127
127,109,83,127,114,76,127,120,86
89,89,91,90,90,91,92,92,93
64,51,60,125,127,126,127,127,127
105,127,127,107,127,127,116,127,127
88,101,127,102,127,127,127,127,127
127,127,127,127,127,127,127,127,127
127,127,127,127,127,127,127,127,127
57,56,63,71,64,69,127,127,127
127,127,127,127,127,127,106,109,115
115,114,115,117,116,115,119,117,116
127,127,127,127,127,127,127,127,127
89,84,78,63,58,61,51,46,51
127,127,127,122,112,103,108,98,91
105,105,106,105,104,104,105,103,101
127,127,127,127,127,127,127,127,127
114,123,123,86,90,96,66,64,72
127,127,127,127,127,127,127,127,127
127,127,127,127,127,127,127,127,127
63,78,103,58,73,103,63,73,96
127,127,127,127,127,127,124,127,127
127,127,127,127,127,127,127,127,127
127,127,127,127,127,127,127,126,125
110,121,127,96,106,127,94,97,114
96,87,85,110,97,92,127,118,107
111,106,104,127,124,119,127,127,127
