97,97,97,96,97,97,96,96,97
127,127,127,127,127,127,127,127,127
44,40,43,40,37,40,43,39,42
113,113,113,113,113,113,114,114,113
127,127,127,127,127,127,127,127,127
127,127,127,127,127,127,127,127,127
83,84,91,91,97,106,110,118,126
127,127,127,118,124,127,102,104,112
108,92,74,89,66,57,70,53,52
82,82,82,82,82,82,83,83,83
99,116,127,103,126,127,116,127,127
127,127,127,127,127,127,127,127,127
115,91,79,121,94,75,122,103,83
127,127,111,127,124,101,127,115,96
127,127,127,127,127,127,127,127,127
127,127,127,127,127,127,127,127,127
110,102,100,127,122,115,127,127,127
127,127,127,127,127,127,127,127,127
127,127,127,127,127,127,127,124,124
63,54,53,70,60,56,83,76,70
80,107,127,71,98,127,73,93,126
58,48,56,93,89,91,127,127,127
127,127,127,127,127,127,127,127,127
60,70,90,50,61,86,50,58,78
127,127,127,127,127,127,127,127,127
127,127,127,127,127,127,127,127,127
108,107,110,127,127,127,127,127,127
127,127,127,127,127,127,127,127,127
127,127,127,126,127,127,122,127,127
124,124,121,100,97,99,83,74,77
127,127,123,127,127,127,127,127,127
127,127,127,127,127,127,127,127,127
