8.665032679738561683e+01,8.089215686274509665e+01,8.448366013071895964e+01,1.287254901960784252e+02,1.262352941176470580e+02,1.231993464052287521e+02,1.875261437908496873e+02,1.877875816993464184e+02,1.813986928104575043e+02
1.400294906166219846e+02,1.546715817694369832e+02,1.651756032171581694e+02,1.270187667560321785e+02,1.463458445040214428e+02,1.631018766756032221e+02,1.193806970509383376e+02,1.378914209115281437e+02,1.556903485254691759e+02
1.194230194319880383e+02,1.068520179372197276e+02,1.033677130044843011e+02,1.161868460388639761e+02,1.075186846038863990e+02,1.054095665171898304e+02,1.325171898355754934e+02,1.372122571001494862e+02,1.380792227204783273e+02
1.362187500000000000e+02,1.301284722222222285e+02,1.296250000000000000e+02,2.015138888888888857e+02,1.997361111111111143e+02,1.959861111111111143e+02,2.260590277777777715e+02,2.270555555555555429e+02,2.243090277777777715e+02
1.400964052287581580e+02,1.400539215686274588e+02,1.364003267973856168e+02,1.076830065359477118e+02,1.046830065359477118e+02,1.051503267973856168e+02,1.112189542483660176e+02,1.084313725490196134e+02,1.060522875816993462e+02
1.119038461538461604e+02,9.192094017094017033e+01,7.341666666666667140e+01,1.098034188034188077e+02,7.863888888888888573e+01,6.225641025641025550e+01,9.882905982905982967e+01,6.869871794871794179e+01,6.051068376068376153e+01
1.839991783073130591e+02,1.842021364009860349e+02,1.818307313064913728e+02,1.864700082169268569e+02,1.859276910435497143e+02,1.836655710764174216e+02,1.806647493837304808e+02,1.812990961380443764e+02,1.799909613804437072e+02
8.525653206650831351e+01,8.204988123515438758e+01,8.038004750593823644e+01,5.870308788598574523e+01,5.689311163895487056e+01,6.247030878859857239e+01,4.638242280285035690e+01,4.431116389548693490e+01,5.181235154394299514e+01
5.769870129870130171e+01,7.827012987012986400e+01,1.096441558441558470e+02,5.258701298701299010e+01,7.078701298701298583e+01,1.052051948051948074e+02,5.531688311688311899e+01,6.570909090909090366e+01,9.181038961038960622e+01
1.383764044943820295e+02,1.928370786516854025e+02,2.195730337078651644e+02,1.388426966292134921e+02,1.949438202247191043e+02,2.236685393258426870e+02,1.514550561797752835e+02,1.944719101123595522e+02,2.200000000000000000e+02
